Dataset,Model,Prediction_Lag,Timestep,Train_RMSE,Train_MAE,Test_RMSE,Test_MAE,Status,Model_File,Data_Shape_Train,Data_Shape_Test,INTERP_Fixed,Warnings,Notes
interp,LSTM,1,12,0.4933,0.4436,0.9843,0.9831,Success,LSTMModel_lag1_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,LSTM,1,18,0.3377,0.2634,0.9553,0.9551,Success,LSTMModel_lag1_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,GRU,1,6,0.4551,0.3634,1.1519,1.1518,Success,GRUModel_lag1_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,GRU,1,12,0.4296,0.3273,1.1174,1.1173,Success,GRUModel_lag1_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,GRU,1,18,0.4442,0.3385,1.1812,1.1807,Success,GRUModel_lag1_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LR,3,N/A,0.6098,0.5027,1.484,1.4829,Success,LRModel_lag3.pickle,"(6, 23)","(2, 23)",Yes,,
interp,DynLR,3,N/A,0.6098,0.5027,1.484,1.4829,Success,DynLRModel_lag3.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RF,3,N/A,0.6785,0.5172,0.7727,0.7712,Success,RFModel_lag3.pickle,"(6, 23)","(2, 23)",Yes,,
interp,NN,3,N/A,0.5438,0.4839,1.2051,1.2038,Success,NNModel_lag3.h5,"(6, 23)","(2, 23)",Yes,,
interp,DynNN,3,N/A,0.4134,0.3648,0.9562,0.9557,Success,DynNNModel_lag3.h5,"(6, 23)","(2, 23)",Yes,,
interp,Ensemble,3,N/A,0.6098,0.5027,1.484,1.4829,Success,EnsembleModel_lag3.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RNN,3,6,1.0512,0.9406,0.1613,0.1514,Success,RNNModel_lag3_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,RNN,3,12,0.7262,0.638,0.3775,0.3773,Success,RNNModel_lag3_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,RNN,3,18,0.4777,0.3953,0.4314,0.4291,Success,RNNModel_lag3_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LSTM,3,6,0.5395,0.4708,0.7597,0.7525,Success,LSTMModel_lag3_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,LSTM,3,12,0.7152,0.6168,1.4508,1.4508,Success,LSTMModel_lag3_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,LSTM,3,18,0.5537,0.4902,1.1694,1.1693,Success,LSTMModel_lag3_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,GRU,3,6,0.4036,0.3416,1.0516,1.0511,Success,GRUModel_lag3_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
